key,zh_CN,en
ui.main_menu.start_new_game,开始新游戏,Start New Game
ui.main_menu.continue,继续,Continue
ui.main_menu.settings,设置,Settings
ui.main_menu.start_battle_test,开始战斗测试,Start Battle Test
ui.main_menu.exit_game,退出游戏,Exit Game
ui.map.floor,第 {floor} 层,Floor {floor}
ui.map.title,地图,Map
ui.map.get_ur_stuff,点击地图上的方块，拿点好玩意！,Click the cube to get something good!
ui.map.new_face_reminder,获取新骰面，别忘了装上,You got a new die face. Don't forget to equip it.
ui.map.custom_dice,定制骰子,Custom-dice
ui.shop.title,商店,Shop
ui.shop.gold,当前金币：{gold},Current Gold: {gold}
ui.shop.reroll_price,刷新价格：{price},Reroll Price: {price}
ui.shop.not_enough_gold_purchase,金币不足，无法购买。,Not enough gold to purchase.
ui.shop.not_enough_gold_reroll,金币不足，无法刷新。,Not enough gold to reroll.
ui.shop.back_to_map,返回地图,Back to Map
ui.shop.reroll_offers,刷新商品,Reroll Offers
ui.shop.sell,出售,Sell
ui.pantry.title,茶水间,Pantry
ui.pantry.no_run_data,没有可用的局内数据。,No run data.
ui.pantry.rest_available,休息可用：回复 30% 最大生命,Rest available: Heal 30% max HP
ui.pantry.rest_cooldown,休息冷却：剩余 {count} 场战斗,Rest cooldown: {count} battle(s) remaining
ui.pantry.forge_points,锻造点：{count},Forge points: {count}
ui.pantry.choose_action,请选择茶水间操作。,Choose a Pantry action.
ui.pantry.rest_on_cooldown,休息仍在冷却中。,Rest is on cooldown.
ui.pantry.no_characters_rest,当前没有可休息的角色。,No characters can rest right now.
ui.pantry.rest_failed,无法让 {name} 休息。,Unable to rest {name}.
ui.pantry.rest_success,已让 {name} 休息。,Rested {name}.
ui.pantry.no_forge_points,没有可用的锻造点。,No forge points available.
ui.pantry.no_forgeable_equipment,当前没有可锻造的装备。,No forgeable equipment available.
ui.pantry.back_to_map,返回地图,Back to Map
ui.hr.title,人事部,HR Dept
ui.hr.no_run_data,没有可用的局内数据。,No run data.
ui.hr.dispatching,正在外派 {name}（剩余 {count} 场战斗）,Dispatching {name} ({count} battles left)
ui.hr.returned_reward,{name} 已返回。奖励：{gold} 金币,{name} returned. Reward: {gold} gold
ui.hr.no_active_dispatch,当前没有外派任务,No active dispatch
ui.hr.recruit_cost,招募（花费 {cost} 金币）,Recruit (Cost {cost} gold)
ui.hr.no_candidates,当前没有可招募对象。,No candidates available.
ui.hr.gold,金币：{gold},Gold: {gold}
ui.hr.recruit_button,招募（{cost}G）,Recruit ({cost}G)
ui.hr.owned,已拥有,Owned
ui.hr.dispatching_short,外派中,Dispatching
ui.hr.not_enough_gold,金币不足。当前：{gold},Not enough gold. Current: {gold}
ui.hr.dispatch_title,外派,Dispatch
ui.hr.dispatch_choose,选择一名角色进行外派（{count} 场战斗）,Choose one character to dispatch ({count} battles)
ui.hr.no_characters_inventory,库存中没有可外派角色。,No recruitable characters in inventory.
ui.hr.dispatch_button,外派,Dispatch
ui.hr.embedded,已嵌入,Embedded
ui.hr.returned,已返回,Returned
ui.hr.embedded_blocked,{name} 已嵌入骰子，请先移除后再外派。,{name} is embedded on dice. Remove it before dispatch.
