id,display_name_key,description_key,source_kind,template_type,listener_scope,name,desc,target_data,triggers,runtime_defaults,timed_escape
t001,,,character,generic,owner_only,kindle,"When Lina is rolled face up, each burning enemy gains 1 Burn stack.","[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""enemy_ally_all"", ""has_status_id"": ""st002""}, ""index"": 0}]","[{""event"": ""deploy"", ""actions"": [{""type"": ""status_apply"", ""status_id"": ""st002"", ""duration"": 0, ""stack_count"": 1, ""target_index"": [0]}]}]",,
t002,,,character,generic,owner_only,corrosive,"When this character takes direct spell damage, apply 2 Poison to the damage source.","[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""damage_source""}, ""index"": 0}]","[{""event"": ""character_damage_taken"", ""conditions"": {""damage_kind"": ""action"", ""is_direct_spell_damage"": true}, ""actions"": [{""type"": ""status_apply"", ""status_id"": ""st009"", ""stack_count"": 2, ""target_index"": [0]}]}]",,
t003,,,character,generic,owner_only,denial,Immune to the first debuff status applied to this unit each battle.,[],"[{""event"": ""status_applied_before"", ""conditions"": {""status_type"": 1}, ""actions"": [{""type"": ""negate_status_apply_once""}]}]",,
t004,,,character,generic,owner_only,dodging,"After Robin resolves a spell, gain Stealth.","[{""team"": 0, ""type"": 0, ""condition"": {""self"": true}, ""index"": 0}]","[{""event"": ""ally_spell_resolved_after"", ""conditions"": {""self_cast_only"": true, ""self_lacks_status_id"": ""st007""}, ""actions"": [{""type"": ""status_apply"", ""status_id"": ""st007"", ""target_index"": [0]}]}]",,
t005,,,character,generic,owner_only,steelheart,"After Bob resolves a spell, gain 2 shield.","[{""team"": 0, ""type"": 0, ""condition"": {""self"": true}, ""index"": 0}]","[{""event"": ""ally_spell_resolved_after"", ""conditions"": {""self_cast_only"": true}, ""actions"": [{""type"": ""shield_change"", ""value"": 2, ""target_index"": [0]}]}]",,
eqt001,,,equipment,consumable,face_up_or_global,dagger,"3 uses. Face up: throw for 4 damage. When an ally gains Stealth, recover 1 use.",,"[{""event"": ""equipment_face_up"", ""actions"": [{""type"": ""runtime_adjust"", ""key"": ""uses"", ""delta"": -1, ""min"": 0, ""max_key"": ""max_uses"", ""require_positive"": true}, {""type"": ""deal_front_enemy_damage"", ""value"": 4, ""require_previous_action"": true}]}, {""event"": ""status_applied_after"", ""conditions"": {""status_id"": ""st007"", ""target_team"": ""ally""}, ""actions"": [{""type"": ""runtime_adjust"", ""key"": ""uses"", ""delta"": 1, ""min"": 0, ""max_key"": ""max_uses""}]}]","{""uses"": 3, ""max_uses"": 3}",
eqt002,,,equipment,generic,face_up_only,shield,"When thrown, give 2 shield to the front ally.","[{""team"": 0, ""type"": 0, ""condition"": {""selector"": ""front_ally""}, ""index"": 0}]","[{""event"": ""equipment_face_up"", ""actions"": [{""type"": ""shield_change"", ""value"": 2, ""target_index"": [0]}]}]",,
eqt003,,,equipment,reloadable,face_up_only,hand_crossbow,Ammo 1. Face up or ally action: consume ammo to deal 4. Face up while empty: reload 1.,,"[{""event"": ""equipment_face_up"", ""actions"": [{""type"": ""consume_ammo_or_reload"", ""damage"": 4}]}, {""event"": ""ally_action_before"", ""actions"": [{""type"": ""consume_ammo_and_damage"", ""damage"": 4}]}]","{""ammo"": 1, ""max_ammo"": 1}",
eqt004,,,equipment,chargeable,face_up_only,bow,Face up: gain 1 charge. Reset after ally action or when losing face up.,,"[{""event"": ""equipment_face_up"", ""actions"": [{""type"": ""runtime_adjust"", ""key"": ""charge_stacks"", ""delta"": 1, ""min"": 0, ""max_key"": ""max_charge_stacks""}]}, {""event"": ""ally_action_after"", ""actions"": [{""type"": ""runtime_set"", ""key"": ""charge_stacks"", ""value"": 0}]}, {""event"": ""equipment_face_up_lost"", ""actions"": [{""type"": ""runtime_set"", ""key"": ""charge_stacks"", ""value"": 0}]}]","{""charge_stacks"": 0, ""max_charge_stacks"": 3, ""charge_step_attack_bonus"": 3, ""base_attack_bonus"": 3}",
eqt005,,,equipment,status_gate,face_up_or_global,sword_ready,"Face up: gain 1 Ready. Ready: while Sword is face up, after an ally spell resolves, deal 4 damage to the front enemy, then consume Ready.",,"[{""event"": ""equipment_face_up"", ""actions"": [{""type"": ""apply_equipment_status"", ""status_id"": ""st018""}]}, {""event"": ""ally_spell_resolved_after"", ""conditions"": {""self_has_status_id"": ""st018""}, ""actions"": [{""type"": ""deal_front_enemy_damage"", ""value"": 4}, {""type"": ""remove_equipment_status"", ""status_id"": ""st018"", ""require_previous_action"": true}]}]",,
eqt006,,,equipment,generic,face_up_only,magicbook,"When thrown, give 1 Speedup to the front ally.","[{""team"": 0, ""type"": 0, ""condition"": {""selector"": ""front_ally""}, ""index"": 0}]","[{""event"": ""equipment_face_up"", ""actions"": [{""type"": ""status_apply"", ""status_id"": ""st013"", ""target_index"": [0]}]}]",,
